会社名,資金調達額,所在地
webAI,Series A $43 Million,Austin Texas
Suno,Series B $125 Million,Cambridge Massachusetts
Flyfin,Series A $10 million,Silicon Valley (San Jose California)
Cohere,Series D $940 Million,Toronto Canada
Kore.ai,Series D $296 Million,Orlando Florida
Overjet,Series C $134 Million,Boston Massachusetts
Glide,Series A $23.8 Million,Tiburon California
Realworld,Seed $7.92 Million,New York New York
So Syncd,Seed $1.01 Million,London England
Heetch,Series B $64.2 Million,Paris France
Snappr,Series A $41.6 Million,San Francisco California
Wonolo,Series D $248 Million,Beaverton Oregon
Touchland,Series A $74.7 Million,Miami Florida
Kinship,Early Stage VC $2.8 Million,Corte Madera California
Crown Affair,Series A $14.6 Million,New York New York
Eight Sleep,Series C $160 Million,New York New York
Open,Series A $16.4 Million,San Francisco California
by Humankind,Seed $7.15 Million,New York New York
ClearForMe,Accelerator $300000,New York New York
Drift,Series B $51.3 Million,Sydney Australia
Anchorage Digital,Series D $487 Million,San Francisco California
Tenderly,Series B $58.6 Million,Belgrade Serbia
Spring Labs,Series B $67.8 Million,Marina Del Rey California
Braintrust,Series A $24 Million,San Francisco California
Stably,Series A $7.7 Million,Seattle Washington
Abnormal Security,Series D $534 Million,San Francisco California
Torq,Series C $188 Million,Denver Colorado
Persona,Series C $217 Million,San Francisco California
Silverfort,Series D $223 Million,Boston Massachusetts
Drata,Series C $328 Million,San Diego California
Verishop,Series B $153 Million,Dallas Texas
Whatnot,Series D $485 Million,San Francisco California
Maisonette,Series C $125 Million,Brooklyn New York
Flowspace,Series B $46.5 Million,Los Angeles California
Pattern,Series B $53 Million,New York New York
FERMAT,Series A $29 Million,San Francisco California
MagicSchool,Series A $17.9 Million,Boulder Colorado
Jolt,Series A $29.1 Million,Tel Aviv Israel
Sana Labs,Series B $84.9 Million,Stockholm Sweden
Campus,Series A $52 Million,Sacramento California
Praktika.ai,Series A $38 Million,Wilmington Delaware
Newsela,Series D $188 Million,New York New York
Trove,Series E $157 Million,Oakland California
Daydream,Seed $49.7 Million,San Francisco and New York
By Rotation,Seed $3.56 Million,London England
Revive,Seed $11.5 Million,New York New York
Unspun,Series B $59.6 Million,Oakland California
Daffy,Series A $21.9 Million,Los Altos California
Mercury,Series B $167 Million,San Francisco California
Melio,Series D $517 Million,New York New York
Capchase,Debt Financing $1.1 Billion,New York New York
Coast,Series B $163 Million,New York New York
Propel,Series B $50 Million,Brooklyn New York
Greenlight,Series D $556 Million,Atlanta Georgia
Kosterina,Seed $5 Million,New York New York
Formo,Series B $116 Million,Berlin Germany
Voyage Foods,Series A $93.7 Million,Oakland California
OLIPOP,Series B $55.4 Million,Oakland California
Infinite Roots,Series B $85.7 Million,Hamburg Germany
Savor,Series A $33.3 Million,San Jose California
Rula,Series C $198 Million,Los Angeles California
Parsley Health,Series C $144 Million,New York New York
Helaina,Series B $38 Million,New York New York
Midi Health,Series B $100 Million,Los Angeles California
AminoChain,Seed $7.57 Million,New York New York
Candid Health,Series B $47 Million,San Francisco California
Pivot,Series D $61.8 Million,San Carlos California
Skylo,Series A $153 Million,Mountain View California
Seeq,Series D $183 Million,Seattle Washington
Artisight,Series B $51.3 Million,Chicago Illinois
Infraspeak,Series A $24.9 Million,Porto Portugal
Zypp Electric,Series C $51.9 Million,Gurugram India
Cowboy,Series C $150 Million,Brussels Belgium
FERNRIDE,Series A $60.8 Million,Munich Germany
Alto,Series C $128 Million,Dallas Texas
Beam,Private Equity Growth $148 Million,Singapore
aifleet,Series B $55.1 Million,Austin Texas
felmo,Series B $17.7 Million,Berlin Germany
Embark,Series B $94.5 Million,Boston Massachusetts
FirstVet,Series C $87.9 Million,Stockholm Sweden
Loyal,Series A $114 Million,San Francisco California
PLACE,Series A $100 Million,Bellingham Washington
HomeLight,Series D $525 Million,Scottsdale Arizona
Snapdocs,Series D $267 Million,Covina California
Homeward,Debt Financing $501 Million,Austin Texas
Systematic,Undisclosed,New York New York
Firstbase,Seed Round $3.38 Million,New York New York
Upmetrics,Undisclosed,Surat Gujarat India
Bolster,Series B $25.2 million,New York New York
Tropic,Series B $67.1 Million,New York New York
Hummingbird,Series B $38.1 Million,Covina California
Ambercycle,Series A $44.2 Million,Los Angeles California
BrightNight,Private Equity Growth $840 Million,West Palm Beach Florida
Captura,Series A $45.3 Million,Pasadena California
Hempitecture,Equity Crowdfunding $15.6Million,Jerome Idaho
Mighty Buildings,Series B $140 Million,Oakland California
Point.me,Series B $27 Million,New York New York
The Hotels Network,Series B $15 Million,Barcelona Spain
Fora,Series A $18.2 Million,New York New York
Mindtrip,Seed $19 Million,Palo Alto California
